wheny,month,year,hb,specialty_name,all_staffed_beddays,total_occupied_beddays,percentage_occupancy,hb_name,population_catchment
2017-01-01,Jan,2017,S08000015,Accident & Emergency,293,189,64.50511945392493, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Emergency Grouping,293,189,64.50511945392493, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Anaesthetics,319,264,82.75862068965519, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Midwifery,322,322,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Haematology,330,330,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Accident & Emergency,373,269,72.11796246648792, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Emergency Grouping,373,269,72.11796246648792, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Anaesthetics,376,271,72.07446808510637, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Intensive Care Medicine,377,300,79.57559681697614, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Intensive Care Medicine,410,274,66.82926829268294, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Cardiology,411,360,87.59124087591243, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Haematology,431,431,100, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Intensive Care Medicine,477,450,94.33962264150944, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Respiratory Medicine,477,477,100, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Respiratory Medicine,493,493,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Haematology,505,505,100, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Haematology,517,461,89.16827852998067, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Intensive Care Medicine,522,377,72.22222222222224, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Anaesthetics,533,372,69.79362101313322, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Anaesthetics,541,410,75.78558225508318, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Cardiology,549,482,87.7959927140255, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Intensive Care Medicine,553,377,68.17359855334541, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Haematology,563,518,92.00710479573712, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Cardiology,574,510,88.8501742160279, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Cardiology,578,509,88.06228373702425, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,"Ear, Nose & Throat (ENT)",598,585,97.82608695652172, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Cardiology,641,577,90.01560062402498, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,All Specialties,679,409,60.23564064801179, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Community Grouping,679,409,60.23564064801179, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,GP Other than Obstetrics,679,409,60.23564064801179, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Community Grouping,707,549,77.65205091937766, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,GP Other than Obstetrics,707,549,77.65205091937766, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,All Specialties,708,550,77.68361581920905, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Haematology,735,709,96.4625850340136, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Haematology,756,663,87.6984126984127, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,"Ear, Nose & Throat (ENT)",761,710,93.29829172141922, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,"Ear, Nose & Throat (ENT)",789,764,96.83143219264892, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Haematology,793,793,100, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Haematology,803,790,98.38107098381072, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,"Ear, Nose & Throat (ENT)",837,711,84.9462365591398, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Anaesthetics,852,636,74.64788732394368, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Intensive Care Medicine,899,677,75.3058954393771, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Anaesthetics,917,681,74.26390403489641, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Gynaecology,923,362,39.219934994582886, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Intensive Care Medicine,963,651,67.60124610591903, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Gynaecology,967,406,41.98552223371253, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Cardiology,985,870,88.32487309644672, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,All Specialties,1038,661,63.6801541425819, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Community Grouping,1038,661,63.6801541425819, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,GP Other than Obstetrics,1038,661,63.6801541425819, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Learning Disability,1046,694,66.34799235181644, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Learning Disability Grouping,1046,694,66.34799235181644, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Haematology,1065,1039,97.55868544600942, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Renal Medicine,1068,1053,98.59550561797754, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Renal Medicine,1069,1054,98.59681945743684, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Renal Medicine,1074,1053,98.04469273743018, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Haematology,1080,979,90.64814814814818, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Renal Medicine,1081,984,91.02682701202592, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Cardiology,1083,1026,94.73684210526318, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,All Specialties,1084,871,80.35055350553506, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Community Grouping,1084,871,80.35055350553506, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,GP Other than Obstetrics,1084,871,80.35055350553506, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Cardiology,1086,1029,94.75138121546964, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Rehabilitation Medicine,1087,993,91.35234590616378, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Cardiology,1096,1005,91.69708029197082, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Renal Medicine,1120,1064,95, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Renal Medicine,1126,1096,97.33570159857904, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Renal Medicine,1129,1099,97.34278122232064, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Cardiology,1144,1079,94.31818181818186, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Rehabilitation Medicine,1161,982,84.58225667527995, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Gynaecology,1165,649,55.70815450643778, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Gynaecology,1184,824,69.59459459459461, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Gynaecology,1191,615,51.63727959697733, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Rehabilitation Medicine,1208,1030,85.26490066225166, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Haematology,1234,1221,98.94651539708268, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Gynaecology,1274,641,50.31397174254318, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Rehabilitation Medicine,1353,1263,93.3481152993348, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Rehabilitation Medicine,1396,654,46.848137535816626, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Intensive Care Medicine,1471,1143,77.70224337185589, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Community Grouping,1503,522,34.730538922155695, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,GP Other than Obstetrics,1503,522,34.730538922155695, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,All Specialties,1512,531,35.11904761904763, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Forensic Psychiatry,1540,1155,75, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Cardiology,1645,1487,90.3951367781155, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Cardiology,1661,1535,92.41420830824804, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Learning Disability,1698,1261,74.26383981154302, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Learning Disability Grouping,1698,1261,74.26383981154302, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Learning Disability,1705,1325,77.71260997067449, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Learning Disability Grouping,1705,1325,77.71260997067449, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Learning Disability,1710,1121,65.55555555555557, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Learning Disability Grouping,1710,1121,65.55555555555557, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Learning Disability,1710,1236,72.28070175438597, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Learning Disability Grouping,1710,1236,72.28070175438597, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Cardiology,1727,1606,92.9936305732484, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Geriatric Medicine - units other than long stay,1737,1737,100, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Urology,1743,1617,92.7710843373494, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Geriatric Medicine - units other than long stay,1764,1683,95.40816326530611, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Cardiology,1809,1700,93.9745715865119, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Urology,1819,1560,85.761407366685, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Urology,1883,1550,82.31545406266598, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Urology,1909,1632,85.489785227868, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Intensive Care Medicine,1948,1593,81.77618069815196, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Forensic Psychiatry,1965,1412,71.85750636132316, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Urology,2026,1505,74.28430404738401, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Forensic Psychiatry,2055,1366,66.47201946472022, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Forensic Psychiatry,2070,1244,60.09661835748794, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Forensic Psychiatry,2099,1461,69.60457360647929, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Trauma and Orthopaedic Surgery,2196,1832,83.42440801457197, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Obstetrics,2481,1894,76.34018540910924, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Obstetrics,2628,2125,80.85996955859972, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Obstetrics,2629,1948,74.09661468238875, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Obstetrics,2690,1937,72.00743494423791, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Obstetrics,2887,1555,53.86214063041222, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Cardiology,2953,2779,94.10768709786656, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Paediatrics,3089,2457,79.54030430560053, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Paediatrics Grouping,3097,2465,79.59315466580564, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Paediatrics,3102,2092,67.44036105738233, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Paediatrics Grouping,3110,2100,67.52411575562702, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Paediatrics,3115,2299,73.80417335473516, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Paediatrics Grouping,3127,2311,73.90470099136554, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Paediatrics,3162,1235,39.05755850727389, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Paediatrics Grouping,3163,1236,39.07682579829277, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,General Surgery,3176,2639,83.0919395465995, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Trauma and Orthopaedic Surgery,3334,2544,76.30473905218957, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Trauma and Orthopaedic Surgery,3336,2401,71.97242206235013, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Trauma and Orthopaedic Surgery,3370,2577,76.46884272997035, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Trauma and Orthopaedic Surgery,3409,2676,78.49809328248755, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Geriatric Medicine - units other than long stay,3411,2592,75.98944591029026, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Geriatric Medicine - units other than long stay,3651,3080,84.36044919200219, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Geriatric Medicine - units other than long stay,3799,3755,98.84180047380892, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Paediatrics,3897,1889,48.473184500898135, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Paediatrics Grouping,3906,1898,48.59190988223248, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Women and Newborn Grouping,3969,2076,52.30536659108088, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Women and Newborn Grouping,3987,3040,76.24780536744422, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Women and Newborn Grouping,3995,2976,74.4931163954944, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Women and Newborn Grouping,4013,2120,52.82830799900325, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Women and Newborn Grouping,4046,2789,68.93227879387051, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Women and Newborn Grouping,4181,2795,66.85003587658457, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Geriatric Medicine - long stay unit,4250,3310,77.88235294117648, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,General Surgery,4308,3975,92.2701949860724, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Trauma and Orthopaedic Surgery,4382,4098,93.518941122775, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,General Surgery,4437,3889,87.64931259860268, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,General Surgery,4555,3552,77.980241492865, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,General Surgery,4750,3743,78.8, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Geriatric Medicine - long stay unit,4753,4710,99.09530822638337, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Geriatric Medicine - units other than long stay,4772,4551,95.36881810561611, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Trauma and Orthopaedic Surgery,4804,4103,85.40799333888427, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,General Surgery,4818,4421,91.76006641760064, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Geriatric Medicine - units other than long stay,4973,4631,93.1228634626986, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Geriatric Medicine - long stay unit,5131,4946,96.39446501656596, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Trauma and Orthopaedic Surgery,5158,4774,92.5552539744087, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,General Surgery,5250,4837,92.13333333333335, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Trauma and Orthopaedic Surgery,5287,4837,91.48855683752602, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,General Surgery,5305,4893,92.23374175306316, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Community Grouping,5352,2813,52.55979073243649, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,GP Other than Obstetrics,5352,2813,52.55979073243649, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,Community Grouping,5353,4130,77.15299831869982, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,GP Other than Obstetrics,5353,4130,77.15299831869982, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Community Grouping,5368,4172,77.71982116244413, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,GP Other than Obstetrics,5368,4172,77.71982116244413, Ayrshire and Arran,low population
2019-01-01,Jan,2019,S08000015,General Surgery,5389,4961,92.05789571349044, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Community Grouping,5414,4322,79.83007018840046, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,GP Other than Obstetrics,5414,4322,79.83007018840046, Ayrshire and Arran,low population
2020-01-01,Jan,2020,S08000015,Trauma and Orthopaedic Surgery,5532,4690,84.77946493130877, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,General Surgery,5586,5175,92.64232008592911, Ayrshire and Arran,low population
2018-01-01,Jan,2018,S08000015,Geriatric Medicine - long stay unit,5808,5409,93.1301652892562, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Community Grouping,5812,3965,68.22092222986925, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,GP Other than Obstetrics,5812,3965,68.22092222986925, Ayrshire and Arran,low population
2017-01-01,Jan,2017,S08000015,Geriatric Medicine - long stay unit,5987,5241,87.53966928344748, Ayrshire and Arran,low population
2021-01-01,Jan,2021,S08000015,Trauma and Orthopaedic Surgery,6582,5934,90.15496809480402, Ayrshire and Arran,low population
