date_ym,year,health_board,hospital_id,hospital_name,department_type,total_attendance,wait_lt_4hrs,wait_gt_4hrs,wait_gt_8hrs,wait_gt_12hrs,is_covid_year
2007-07-01,2007,Forth Valley,V201H,Stirling Community Hospital,Emergency Department,4195,4003,192,5,1,FALSE
2007-07-01,2007,Grampian,N101H,Aberdeen Royal Infirmary,Emergency Department,5312,5168,144,8,0,FALSE
2007-07-01,2007,Grampian,N121H,Royal Aberdeen Children's Hospital,Emergency Department,1333,1324,9,0,0,FALSE
2007-07-01,2007,Grampian,N151H,Aboyne Hospital,Minor Injury Unit or Other,72,72,0,0,0,FALSE
2007-07-01,2007,Grampian,N331H,Inverurie Hospital,Minor Injury Unit or Other,40,40,0,0,0,FALSE
2007-07-01,2007,Grampian,N332H,Insch & District War Memorial Hosp.,Minor Injury Unit or Other,62,62,0,0,0,FALSE
2007-07-01,2007,Grampian,N333H,Peterhead Community Hospital,Minor Injury Unit or Other,1114,1113,1,0,0,FALSE
2007-07-01,2007,Grampian,N334H,Fraserburgh Hospital,Minor Injury Unit or Other,904,898,6,0,0,FALSE
2007-07-01,2007,Grampian,N335H,Jubilee Hospital,Minor Injury Unit or Other,279,277,2,0,0,FALSE
2007-07-01,2007,Grampian,N336H,Turriff Cottage Hospital,Minor Injury Unit or Other,178,178,0,0,0,FALSE
2007-07-01,2007,Grampian,N337H,Chalmers Hospital,Minor Injury Unit or Other,359,359,0,0,0,FALSE
2007-07-01,2007,Grampian,N411H,Dr Gray's Hospital,Emergency Department,1925,1850,75,1,1,FALSE
2007-07-01,2007,Grampian,N431H,Seafield Hospital,Minor Injury Unit or Other,107,107,0,0,0,FALSE
2007-07-01,2007,Grampian,N432H,Stephen Cottage Hospital,Minor Injury Unit or Other,37,37,0,0,0,FALSE
2007-07-01,2007,Grampian,N433H,Turner Memorial Hospital,Minor Injury Unit or Other,113,113,0,0,0,FALSE
2007-07-01,2007,Grampian,N434H,Leanchoil Hospital,Minor Injury Unit or Other,62,62,0,0,0,FALSE
2007-07-01,2007,Grampian,N451H,Fleming Cottage Hospital,Minor Injury Unit or Other,32,32,0,0,0,FALSE
2007-07-01,2007,Grampian,N494H,Kincardine Community Hospital,Minor Injury Unit or Other,153,153,0,0,0,FALSE
2007-07-01,2007,Greater Glasgow and Clyde,C206H,Vale of Leven General Hospital,Minor Injury Unit or Other,1382,1354,28,1,1,FALSE
2007-07-01,2007,Greater Glasgow and Clyde,C313H,Inverclyde Royal Hospital,Emergency Department,2693,2648,45,1,0,FALSE
2007-07-01,2007,Greater Glasgow and Clyde,C418H,Royal Alexandra Hospital,Emergency Department,5479,5324,155,4,0,FALSE
2007-07-01,2007,Greater Glasgow and Clyde,G107H,Glasgow Royal Infirmary,Emergency Department,6200,5951,249,6,2,FALSE
2007-07-01,2007,Greater Glasgow and Clyde,G207H,Stobhill Hospital,Emergency Department,3390,3264,126,1,0,FALSE
2007-07-01,2007,Greater Glasgow and Clyde,G306H,New Victoria Hospital,Emergency Department,5864,5744,120,1,0,FALSE
2007-07-01,2007,Greater Glasgow and Clyde,G405H,Queen Elizabeth University Hospital,Emergency Department,4186,3952,234,4,0,FALSE
2007-07-01,2007,Greater Glasgow and Clyde,G513H,Royal Hospital for Children,Emergency Department,2981,2942,39,1,0,FALSE
2007-07-01,2007,Greater Glasgow and Clyde,G516H,West Glasgow,Emergency Department,5040,4529,511,40,6,FALSE
2007-07-01,2007,Highland,C103B,NA,Minor Injury Unit or Other,401,401,0,0,0,FALSE
2007-07-01,2007,Highland,C106H,Cowal Community Hospital,Minor Injury Unit or Other,615,612,3,0,0,FALSE
2007-07-01,2007,Highland,C108H,Islay Hospital,Minor Injury Unit or Other,110,110,0,0,0,FALSE
2007-07-01,2007,Highland,C110H,NA,Minor Injury Unit or Other,468,467,1,0,0,FALSE
2007-07-01,2007,Highland,C113H,Victoria Hospital,Minor Injury Unit or Other,369,363,6,0,0,FALSE
2007-07-01,2007,Highland,C117J,NA,Minor Injury Unit or Other,67,65,2,0,0,FALSE
2007-07-01,2007,Highland,C121H,Lorn & Islands Hospital,Emergency Department,616,611,5,0,0,FALSE
2007-07-01,2007,Highland,C122H,Campbeltown Hospital,Minor Injury Unit or Other,211,211,0,0,0,FALSE
2007-07-01,2007,Highland,H101H,Dunbar Hospital,Minor Injury Unit or Other,199,199,0,0,0,FALSE
2007-07-01,2007,Highland,H103H,Caithness General Hospital,Emergency Department,496,488,8,0,0,FALSE
2007-07-01,2007,Highland,H106H,Lawson Memorial Hospital,Minor Injury Unit or Other,73,72,1,0,0,FALSE
2007-07-01,2007,Highland,H202H,Raigmore Hospital,Emergency Department,2618,2553,65,3,1,FALSE
2007-07-01,2007,Highland,H208H,Nairn Town and County Hospital,Minor Injury Unit or Other,281,280,1,0,0,FALSE
2007-07-01,2007,Highland,H210H,Ian Charles Community Hospital,Minor Injury Unit or Other,113,111,2,0,0,FALSE
2007-07-01,2007,Highland,H212H,Belford Hospital,Emergency Department,896,879,17,0,0,FALSE
2007-07-01,2007,Highland,H214H,Mackinnon Memorial Hospital,Minor Injury Unit or Other,300,296,4,0,0,FALSE
2007-07-01,2007,Highland,H215H,Portree Hospital,Minor Injury Unit or Other,153,152,1,0,0,FALSE
2007-07-01,2007,Highland,H217H,Ross Memorial Hospital,Minor Injury Unit or Other,185,185,0,0,0,FALSE
2007-07-01,2007,Highland,H219H,County Community Hospital Invergordon,Minor Injury Unit or Other,91,91,0,0,0,FALSE
2007-07-01,2007,Highland,H227B,NA,Minor Injury Unit or Other,202,202,0,0,0,FALSE
2007-07-01,2007,Lanarkshire,L106H,University Hospital Monklands,Emergency Department,5662,5443,219,3,0,FALSE
2007-07-01,2007,Lanarkshire,L206H,Kello Hospital,Minor Injury Unit or Other,165,165,0,0,0,FALSE
2007-07-01,2007,Lanarkshire,L207H,Lady Home Cottage Hospital,Minor Injury Unit or Other,166,166,0,0,0,FALSE
2007-07-01,2007,Lanarkshire,L302H,University Hospital Hairmyres,Emergency Department,4545,4270,275,87,45,FALSE
2007-07-01,2007,Lanarkshire,L308H,University Hospital Wishaw,Emergency Department,5555,5351,204,44,20,FALSE
2007-07-01,2007,Lothian,S116H,Western General Hospital,Minor Injury Unit or Other,2761,2600,161,4,0,FALSE
2007-07-01,2007,Lothian,S308H,St John's Hospital,Emergency Department,3900,3642,258,2,0,FALSE
2007-07-01,2007,Lothian,S314H,Royal Infirmary of Edinburgh at Little France,Emergency Department,8947,8468,479,19,0,FALSE
2007-07-01,2007,Lothian,S319H,Royal Hospital for Children and Young People,Emergency Department,2620,2603,17,0,0,FALSE
2007-07-01,2007,Orkney,R103H,The Balfour,Minor Injury Unit or Other,225,225,0,0,0,FALSE
2007-07-01,2007,Shetland,Z102H,Gilbert Bain Hospital,Emergency Department,802,791,11,0,0,FALSE
2007-07-01,2007,Tayside,T101H,Ninewells Hospital,Emergency Department,3940,3927,13,0,0,FALSE
2007-07-01,2007,Tayside,T202H,Perth Royal Infirmary,Emergency Department,2208,2192,16,0,0,FALSE
2007-07-01,2007,Tayside,T208H,NA,Minor Injury Unit or Other,78,78,0,0,0,FALSE
2007-07-01,2007,Tayside,T209H,Blairgowrie & Rattray Cottage Hospital,Minor Injury Unit or Other,167,166,1,0,0,FALSE
2007-07-01,2007,Tayside,T304H,Arbroath Infirmary,Minor Injury Unit or Other,847,846,1,0,0,FALSE
2007-07-01,2007,Tayside,T305H,Brechin Infirmary,Minor Injury Unit or Other,228,228,0,0,0,FALSE
2007-07-01,2007,Tayside,T319H,Whitehills Health and Community Care Centre,Minor Injury Unit or Other,504,504,0,0,0,FALSE
2007-07-01,2007,Tayside,T357C,NA,Minor Injury Unit or Other,444,444,0,0,0,FALSE
2007-07-01,2007,Western Isles,W106H,St Brendans Cot Hospital,Minor Injury Unit or Other,57,57,0,0,0,FALSE
2007-07-01,2007,Western Isles,W107H,Western Isles Hospital,Emergency Department,776,762,14,1,0,FALSE
2007-07-01,2007,Western Isles,W108H,Uist & Barra Hospital,Minor Injury Unit or Other,135,135,0,0,0,FALSE
2007-08-01,2007,Ayrshire and Arran,A101H,Arran War Memorial Hospital,Minor Injury Unit or Other,265,265,0,0,0,FALSE
2007-08-01,2007,Ayrshire and Arran,A111H,University Hospital Crosshouse,Emergency Department,5655,5508,147,5,3,FALSE
2007-08-01,2007,Ayrshire and Arran,A207H,NA,Minor Injury Unit or Other,86,86,0,0,0,FALSE
2007-08-01,2007,Ayrshire and Arran,A210H,University Hospital Ayr,Emergency Department,3558,3388,170,1,0,FALSE
2007-08-01,2007,Borders,B103H,The Knoll Hospital,Minor Injury Unit or Other,14,14,0,0,0,FALSE
2007-08-01,2007,Borders,B105H,Hawick Community  Hospital,Minor Injury Unit or Other,106,106,0,0,0,FALSE
2007-08-01,2007,Borders,B114H,Kelso Hospital,Minor Injury Unit or Other,28,28,0,0,0,FALSE
2007-08-01,2007,Borders,B118H,Hay Lodge Hospital,Minor Injury Unit or Other,122,122,0,0,0,FALSE
2007-08-01,2007,Borders,B120H,Borders General Hospital,Emergency Department,2005,1993,12,0,0,FALSE
2007-08-01,2007,Dumfries and Galloway,Y101H,Castle Douglas Community Hospital,Minor Injury Unit or Other,92,92,0,0,0,FALSE
2007-08-01,2007,Dumfries and Galloway,Y106H,Kirkcudbright Cottage Hospital,Minor Injury Unit or Other,77,77,0,0,0,FALSE
2007-08-01,2007,Dumfries and Galloway,Y109H,Moffat Community Hospital,Minor Injury Unit or Other,10,10,0,0,0,FALSE
2007-08-01,2007,Dumfries and Galloway,Y110H,Newton Stewart Hospital,Minor Injury Unit or Other,62,62,0,0,0,FALSE
2007-08-01,2007,Dumfries and Galloway,Y144H,Galloway Community Hospital,Emergency Department,1269,1248,21,0,0,FALSE
2007-08-01,2007,Dumfries and Galloway,Y146H,Dumfries & Galloway Royal Infirmary,Emergency Department,3010,2903,107,2,0,FALSE
2007-08-01,2007,Fife,F704H,Victoria Hospital,Emergency Department,3877,3745,132,8,3,FALSE
2007-08-01,2007,Fife,F708H,Adamson Hospital,Minor Injury Unit or Other,155,155,0,0,0,FALSE
2007-08-01,2007,Fife,F709H,St Andrews Community Hospital,Minor Injury Unit or Other,251,250,1,0,0,FALSE
2007-08-01,2007,Fife,F805H,Queen Margaret Hospital,Emergency Department,3507,3400,107,3,0,FALSE
2007-08-01,2007,Forth Valley,V102H,Falkirk Community Hospital,Minor Injury Unit or Other,1872,1870,2,0,0,FALSE
2007-08-01,2007,Forth Valley,V201H,Stirling Community Hospital,Emergency Department,4370,4055,315,10,0,FALSE
2007-08-01,2007,Grampian,N101H,Aberdeen Royal Infirmary,Emergency Department,5421,5261,160,5,1,FALSE
2007-08-01,2007,Grampian,N121H,Royal Aberdeen Children's Hospital,Emergency Department,1412,1402,10,0,0,FALSE
2007-08-01,2007,Grampian,N151H,Aboyne Hospital,Minor Injury Unit or Other,72,72,0,0,0,FALSE
2007-08-01,2007,Grampian,N331H,Inverurie Hospital,Minor Injury Unit or Other,48,48,0,0,0,FALSE
2007-08-01,2007,Grampian,N332H,Insch & District War Memorial Hosp.,Minor Injury Unit or Other,93,93,0,0,0,FALSE
2007-08-01,2007,Grampian,N333H,Peterhead Community Hospital,Minor Injury Unit or Other,1105,1104,1,0,0,FALSE
2007-08-01,2007,Grampian,N334H,Fraserburgh Hospital,Minor Injury Unit or Other,806,802,4,0,0,FALSE
2007-08-01,2007,Grampian,N335H,Jubilee Hospital,Minor Injury Unit or Other,256,256,0,0,0,FALSE
2007-08-01,2007,Grampian,N336H,Turriff Cottage Hospital,Minor Injury Unit or Other,178,178,0,0,0,FALSE
2007-08-01,2007,Grampian,N337H,Chalmers Hospital,Minor Injury Unit or Other,385,385,0,0,0,FALSE
2007-08-01,2007,Grampian,N411H,Dr Gray's Hospital,Emergency Department,1905,1791,114,6,0,FALSE
2007-08-01,2007,Grampian,N431H,Seafield Hospital,Minor Injury Unit or Other,104,104,0,0,0,FALSE
2007-08-01,2007,Grampian,N432H,Stephen Cottage Hospital,Minor Injury Unit or Other,45,45,0,0,0,FALSE
2007-08-01,2007,Grampian,N433H,Turner Memorial Hospital,Minor Injury Unit or Other,118,118,0,0,0,FALSE
2007-08-01,2007,Grampian,N434H,Leanchoil Hospital,Minor Injury Unit or Other,62,62,0,0,0,FALSE
2007-08-01,2007,Grampian,N451H,Fleming Cottage Hospital,Minor Injury Unit or Other,36,36,0,0,0,FALSE
2007-08-01,2007,Grampian,N494H,Kincardine Community Hospital,Minor Injury Unit or Other,150,150,0,0,0,FALSE
2007-08-01,2007,Greater Glasgow and Clyde,C206H,Vale of Leven General Hospital,Minor Injury Unit or Other,1407,1388,19,0,0,FALSE
2007-08-01,2007,Greater Glasgow and Clyde,C313H,Inverclyde Royal Hospital,Emergency Department,2791,2732,59,0,0,FALSE
2007-08-01,2007,Greater Glasgow and Clyde,C418H,Royal Alexandra Hospital,Emergency Department,5691,5548,143,2,0,FALSE
2007-08-01,2007,Greater Glasgow and Clyde,G107H,Glasgow Royal Infirmary,Emergency Department,6248,5881,367,9,2,FALSE
2007-08-01,2007,Greater Glasgow and Clyde,G207H,Stobhill Hospital,Emergency Department,3627,3348,279,23,4,FALSE
2007-08-01,2007,Greater Glasgow and Clyde,G306H,New Victoria Hospital,Emergency Department,5964,5844,120,2,0,FALSE
2007-08-01,2007,Greater Glasgow and Clyde,G405H,Queen Elizabeth University Hospital,Emergency Department,4162,3813,349,7,0,FALSE
2007-08-01,2007,Greater Glasgow and Clyde,G513H,Royal Hospital for Children,Emergency Department,3007,2962,45,2,1,FALSE
2007-08-01,2007,Greater Glasgow and Clyde,G516H,West Glasgow,Emergency Department,5177,4733,444,26,3,FALSE
2007-08-01,2007,Highland,C103B,NA,Minor Injury Unit or Other,423,422,1,0,0,FALSE
2007-08-01,2007,Highland,C106H,Cowal Community Hospital,Minor Injury Unit or Other,628,627,1,0,0,FALSE
2007-08-01,2007,Highland,C108H,Islay Hospital,Minor Injury Unit or Other,94,94,0,0,0,FALSE
2007-08-01,2007,Highland,C110H,NA,Minor Injury Unit or Other,364,364,0,0,0,FALSE
2007-08-01,2007,Highland,C113H,Victoria Hospital,Minor Injury Unit or Other,367,361,6,0,0,FALSE
2007-08-01,2007,Highland,C117J,NA,Minor Injury Unit or Other,74,73,1,0,0,FALSE
2007-08-01,2007,Highland,C121H,Lorn & Islands Hospital,Emergency Department,631,629,2,0,0,FALSE
2007-08-01,2007,Highland,C122H,Campbeltown Hospital,Minor Injury Unit or Other,250,249,1,0,0,FALSE
2007-08-01,2007,Highland,H101H,Dunbar Hospital,Minor Injury Unit or Other,228,227,1,0,0,FALSE
2007-08-01,2007,Highland,H103H,Caithness General Hospital,Emergency Department,578,573,5,0,0,FALSE
2007-08-01,2007,Highland,H106H,Lawson Memorial Hospital,Minor Injury Unit or Other,66,66,0,0,0,FALSE
2007-08-01,2007,Highland,H202H,Raigmore Hospital,Emergency Department,2805,2717,88,3,0,FALSE
2007-08-01,2007,Highland,H208H,Nairn Town and County Hospital,Minor Injury Unit or Other,283,281,2,0,0,FALSE
2007-08-01,2007,Highland,H210H,Ian Charles Community Hospital,Minor Injury Unit or Other,107,107,0,0,0,FALSE
2007-08-01,2007,Highland,H212H,Belford Hospital,Emergency Department,936,921,15,0,0,FALSE
2007-08-01,2007,Highland,H214H,Mackinnon Memorial Hospital,Minor Injury Unit or Other,304,287,17,0,0,FALSE
2007-08-01,2007,Highland,H215H,Portree Hospital,Minor Injury Unit or Other,150,146,4,0,0,FALSE
2007-08-01,2007,Highland,H217H,Ross Memorial Hospital,Minor Injury Unit or Other,225,225,0,0,0,FALSE
2007-08-01,2007,Highland,H219H,County Community Hospital Invergordon,Minor Injury Unit or Other,104,103,1,0,0,FALSE
2007-08-01,2007,Highland,H227B,NA,Minor Injury Unit or Other,218,218,0,0,0,FALSE
2007-08-01,2007,Lanarkshire,L106H,University Hospital Monklands,Emergency Department,5692,5498,194,6,0,FALSE
2007-08-01,2007,Lanarkshire,L206H,Kello Hospital,Minor Injury Unit or Other,174,174,0,0,0,FALSE
2007-08-01,2007,Lanarkshire,L207H,Lady Home Cottage Hospital,Minor Injury Unit or Other,140,140,0,0,0,FALSE
2007-08-01,2007,Lanarkshire,L302H,University Hospital Hairmyres,Emergency Department,4833,4717,116,20,6,FALSE
2007-08-01,2007,Lanarkshire,L308H,University Hospital Wishaw,Emergency Department,5614,5531,83,2,0,FALSE
2007-08-01,2007,Lothian,S116H,Western General Hospital,Minor Injury Unit or Other,2972,2784,188,8,0,FALSE
2007-08-01,2007,Lothian,S308H,St John's Hospital,Emergency Department,4036,3912,124,1,0,FALSE
2007-08-01,2007,Lothian,S314H,Royal Infirmary of Edinburgh at Little France,Emergency Department,9473,8620,853,56,1,FALSE
2007-08-01,2007,Lothian,S319H,Royal Hospital for Children and Young People,Emergency Department,2875,2847,28,0,0,FALSE
2007-08-01,2007,Orkney,R103H,The Balfour,Minor Injury Unit or Other,237,237,0,0,0,FALSE
2007-08-01,2007,Shetland,Z102H,Gilbert Bain Hospital,Emergency Department,745,727,18,1,1,FALSE
2007-08-01,2007,Tayside,T101H,Ninewells Hospital,Emergency Department,4072,4040,32,1,0,FALSE
2007-08-01,2007,Tayside,T202H,Perth Royal Infirmary,Emergency Department,2300,2281,19,0,0,FALSE
2007-08-01,2007,Tayside,T208H,NA,Minor Injury Unit or Other,63,63,0,0,0,FALSE
2007-08-01,2007,Tayside,T209H,Blairgowrie & Rattray Cottage Hospital,Minor Injury Unit or Other,147,145,2,0,0,FALSE
2007-08-01,2007,Tayside,T304H,Arbroath Infirmary,Minor Injury Unit or Other,700,699,1,0,0,FALSE
2007-08-01,2007,Tayside,T305H,Brechin Infirmary,Minor Injury Unit or Other,146,146,0,0,0,FALSE
2007-08-01,2007,Tayside,T319H,Whitehills Health and Community Care Centre,Minor Injury Unit or Other,422,422,0,0,0,FALSE
2007-08-01,2007,Tayside,T357C,NA,Minor Injury Unit or Other,334,334,0,0,0,FALSE
2007-08-01,2007,Western Isles,W106H,St Brendans Cot Hospital,Minor Injury Unit or Other,36,35,1,0,0,FALSE
2007-08-01,2007,Western Isles,W107H,Western Isles Hospital,Emergency Department,767,742,25,0,0,FALSE
2007-08-01,2007,Western Isles,W108H,Uist & Barra Hospital,Minor Injury Unit or Other,112,112,0,0,0,FALSE
2007-09-01,2007,Ayrshire and Arran,A101H,Arran War Memorial Hospital,Minor Injury Unit or Other,173,173,0,0,0,FALSE
2007-09-01,2007,Ayrshire and Arran,A111H,University Hospital Crosshouse,Emergency Department,5499,5426,73,0,0,FALSE
2007-09-01,2007,Ayrshire and Arran,A207H,NA,Minor Injury Unit or Other,78,78,0,0,0,FALSE
2007-09-01,2007,Ayrshire and Arran,A210H,University Hospital Ayr,Emergency Department,3270,3157,113,0,0,FALSE
2007-09-01,2007,Borders,B103H,The Knoll Hospital,Minor Injury Unit or Other,19,19,0,0,0,FALSE
2007-09-01,2007,Borders,B105H,Hawick Community  Hospital,Minor Injury Unit or Other,106,106,0,0,0,FALSE
2007-09-01,2007,Borders,B114H,Kelso Hospital,Minor Injury Unit or Other,31,31,0,0,0,FALSE
2007-09-01,2007,Borders,B118H,Hay Lodge Hospital,Minor Injury Unit or Other,87,87,0,0,0,FALSE
2007-09-01,2007,Borders,B120H,Borders General Hospital,Emergency Department,2028,2016,12,0,0,FALSE
2007-09-01,2007,Dumfries and Galloway,Y101H,Castle Douglas Community Hospital,Minor Injury Unit or Other,59,59,0,0,0,FALSE
2007-09-01,2007,Dumfries and Galloway,Y106H,Kirkcudbright Cottage Hospital,Minor Injury Unit or Other,44,44,0,0,0,FALSE
2007-09-01,2007,Dumfries and Galloway,Y109H,Moffat Community Hospital,Minor Injury Unit or Other,12,12,0,0,0,FALSE
2007-09-01,2007,Dumfries and Galloway,Y110H,Newton Stewart Hospital,Minor Injury Unit or Other,63,63,0,0,0,FALSE
2007-09-01,2007,Dumfries and Galloway,Y144H,Galloway Community Hospital,Emergency Department,1064,1046,18,0,0,FALSE
2007-09-01,2007,Dumfries and Galloway,Y146H,Dumfries & Galloway Royal Infirmary,Emergency Department,2909,2835,74,0,0,FALSE
2007-09-01,2007,Fife,F704H,Victoria Hospital,Emergency Department,3837,3646,191,12,1,FALSE
2007-09-01,2007,Fife,F708H,Adamson Hospital,Minor Injury Unit or Other,147,147,0,0,0,FALSE
2007-09-01,2007,Fife,F709H,St Andrews Community Hospital,Minor Injury Unit or Other,309,308,1,0,0,FALSE
2007-09-01,2007,Fife,F805H,Queen Margaret Hospital,Emergency Department,3393,3289,104,3,1,FALSE
2007-09-01,2007,Forth Valley,V102H,Falkirk Community Hospital,Minor Injury Unit or Other,1813,1808,5,0,0,FALSE
2007-09-01,2007,Forth Valley,V201H,Stirling Community Hospital,Emergency Department,4301,4012,289,10,0,FALSE
2007-09-01,2007,Grampian,N101H,Aberdeen Royal Infirmary,Emergency Department,5246,5038,208,16,4,FALSE
2007-09-01,2007,Grampian,N121H,Royal Aberdeen Children's Hospital,Emergency Department,1486,1480,6,0,0,FALSE
2007-09-01,2007,Grampian,N151H,Aboyne Hospital,Minor Injury Unit or Other,89,89,0,0,0,FALSE
2007-09-01,2007,Grampian,N331H,Inverurie Hospital,Minor Injury Unit or Other,64,64,0,0,0,FALSE
2007-09-01,2007,Grampian,N332H,Insch & District War Memorial Hosp.,Minor Injury Unit or Other,70,70,0,0,0,FALSE
2007-09-01,2007,Grampian,N333H,Peterhead Community Hospital,Minor Injury Unit or Other,1108,1107,1,0,0,FALSE
2007-09-01,2007,Grampian,N334H,Fraserburgh Hospital,Minor Injury Unit or Other,845,842,3,0,0,FALSE
2007-09-01,2007,Grampian,N335H,Jubilee Hospital,Minor Injury Unit or Other,259,259,0,0,0,FALSE
2007-09-01,2007,Grampian,N336H,Turriff Cottage Hospital,Minor Injury Unit or Other,185,185,0,0,0,FALSE
2007-09-01,2007,Grampian,N337H,Chalmers Hospital,Minor Injury Unit or Other,343,343,0,0,0,FALSE
2007-09-01,2007,Grampian,N411H,Dr Gray's Hospital,Emergency Department,1963,1838,125,6,1,FALSE
2007-09-01,2007,Grampian,N431H,Seafield Hospital,Minor Injury Unit or Other,76,76,0,0,0,FALSE
2007-09-01,2007,Grampian,N432H,Stephen Cottage Hospital,Minor Injury Unit or Other,31,31,0,0,0,FALSE
2007-09-01,2007,Grampian,N433H,Turner Memorial Hospital,Minor Injury Unit or Other,106,106,0,0,0,FALSE
2007-09-01,2007,Grampian,N434H,Leanchoil Hospital,Minor Injury Unit or Other,74,74,0,0,0,FALSE
2007-09-01,2007,Grampian,N451H,Fleming Cottage Hospital,Minor Injury Unit or Other,39,39,0,0,0,FALSE
2007-09-01,2007,Grampian,N494H,Kincardine Community Hospital,Minor Injury Unit or Other,139,139,0,0,0,FALSE
2007-09-01,2007,Greater Glasgow and Clyde,C206H,Vale of Leven General Hospital,Minor Injury Unit or Other,1224,1218,6,0,0,FALSE
2007-09-01,2007,Greater Glasgow and Clyde,C313H,Inverclyde Royal Hospital,Emergency Department,2616,2581,35,0,0,FALSE
2007-09-01,2007,Greater Glasgow and Clyde,C418H,Royal Alexandra Hospital,Emergency Department,5690,5481,209,7,0,FALSE
2007-09-01,2007,Greater Glasgow and Clyde,G107H,Glasgow Royal Infirmary,Emergency Department,6032,5631,401,18,4,FALSE
2007-09-01,2007,Greater Glasgow and Clyde,G207H,Stobhill Hospital,Emergency Department,3410,3262,148,3,0,FALSE
2007-09-01,2007,Greater Glasgow and Clyde,G306H,New Victoria Hospital,Emergency Department,5838,5712,126,1,0,FALSE
2007-09-01,2007,Greater Glasgow and Clyde,G405H,Queen Elizabeth University Hospital,Emergency Department,4043,3854,189,3,0,FALSE
2007-09-01,2007,Greater Glasgow and Clyde,G513H,Royal Hospital for Children,Emergency Department,3168,3123,45,1,1,FALSE
2007-09-01,2007,Greater Glasgow and Clyde,G516H,West Glasgow,Emergency Department,4848,4524,324,15,3,FALSE
2007-09-01,2007,Highland,C103B,NA,Minor Injury Unit or Other,541,537,4,0,0,FALSE
2007-09-01,2007,Highland,C106H,Cowal Community Hospital,Minor Injury Unit or Other,554,554,0,0,0,FALSE
2007-09-01,2007,Highland,C108H,Islay Hospital,Minor Injury Unit or Other,77,75,2,0,0,FALSE
2007-09-01,2007,Highland,C110H,NA,Minor Injury Unit or Other,266,264,2,0,0,FALSE
2007-09-01,2007,Highland,C113H,Victoria Hospital,Minor Injury Unit or Other,386,382,4,0,0,FALSE
2007-09-01,2007,Highland,C117J,NA,Minor Injury Unit or Other,35,34,1,0,0,FALSE
2007-09-01,2007,Highland,C121H,Lorn & Islands Hospital,Emergency Department,557,552,5,0,0,FALSE
2007-09-01,2007,Highland,H101H,Dunbar Hospital,Minor Injury Unit or Other,204,204,0,0,0,FALSE
2007-09-01,2007,Highland,H103H,Caithness General Hospital,Emergency Department,478,475,3,0,0,FALSE
2007-09-01,2007,Highland,H106H,Lawson Memorial Hospital,Minor Injury Unit or Other,43,43,0,0,0,FALSE
2007-09-01,2007,Highland,H202H,Raigmore Hospital,Emergency Department,2611,2556,55,1,0,FALSE
2007-09-01,2007,Highland,H208H,Nairn Town and County Hospital,Minor Injury Unit or Other,237,236,1,0,0,FALSE
